,open,high,low,close,volume,datetime
0,26.5,27.45,25.0,26.7,43213196,2018-07-26 05:00:00
1,27.54,27.54,23.21,24.6,19930507,2018-07-27 05:00:00
2,23.31,23.9,21.88,22.5,13967711,2018-07-30 05:00:00
3,22.2,22.71,19.62,22.59,13709586,2018-07-31 05:00:00
4,19.38,21.4,18.62,20.31,19339027,2018-08-01 05:00:00
5,19.27,20.18,19.03,19.66,9268462,2018-08-02 05:00:00
6,20.0,20.2665,18.91,19.07,6996436,2018-08-03 05:00:00
7,19.22,21.09,18.92,20.16,8338605,2018-08-06 05:00:00
8,21.08,21.9,20.67,20.89,7573044,2018-08-07 05:00:00
9,21.42,21.46,19.86,20.27,3721896,2018-08-08 05:00:00
10,20.39,20.56,19.46,20.0,4839383,2018-08-09 05:00:00
11,19.85,20.0312,19.49,19.51,2572517,2018-08-10 05:00:00
12,19.21,20.1,19.2,19.44,2219753,2018-08-13 05:00:00
13,19.46,19.52,18.88,19.0,8037782,2018-08-14 05:00:00
14,17.9,18.5,17.58,17.7,11714053,2018-08-15 05:00:00
15,18.27,19.1,18.16,19.04,5951170,2018-08-16 05:00:00
16,18.65,19.03,18.38,19.0,2720471,2018-08-17 05:00:00
17,18.82,19.335,18.795,18.95,3004493,2018-08-20 05:00:00
18,19.14,19.5,18.45,18.75,3252046,2018-08-21 05:00:00
19,18.67,18.9488,18.01,18.4,4433744,2018-08-22 05:00:00
20,18.38,18.8,18.12,18.31,6116054,2018-08-23 05:00:00
21,18.25,18.4999,17.2,17.22,7078443,2018-08-24 05:00:00
22,17.7,19.21,17.5,19.17,5672482,2018-08-27 05:00:00
23,19.49,19.96,18.82,19.54,4853896,2018-08-28 05:00:00
24,19.54,21.24,18.91,21.15,5152986,2018-08-29 05:00:00
25,20.68,20.846,17.88,17.99,9283451,2018-08-30 05:00:00
26,18.87,19.67,17.55,19.35,10318405,2018-08-31 05:00:00
27,18.66,21.18,18.6,20.75,10007463,2018-09-04 05:00:00
28,20.44,20.45,18.8,18.8,7036915,2018-09-05 05:00:00
29,19.28,19.78,18.91,19.11,3377685,2018-09-06 05:00:00
30,19.03,20.25,19.0,19.57,4413298,2018-09-07 05:00:00
31,19.68,20.05,19.48,19.74,2649273,2018-09-10 05:00:00
32,19.55,23.77,19.31,23.57,10914552,2018-09-11 05:00:00
33,22.77,23.75,22.02,23.04,8982960,2018-09-12 05:00:00
34,24.5,30.48,24.42,29.96,17080830,2018-09-13 05:00:00
35,28.89,30.0,26.28,26.34,16722784,2018-09-14 05:00:00
36,25.98,27.88,24.2,24.36,7534353,2018-09-17 05:00:00
37,24.66,25.66,22.31,22.64,6798250,2018-09-18 05:00:00
38,23.28,24.36,22.48,23.0,4487955,2018-09-19 05:00:00
39,23.36,25.25,23.06,24.65,5147645,2018-09-20 05:00:00
40,25.51,26.59,24.431,25.6,6063532,2018-09-21 05:00:00
41,24.76,27.13,24.22,26.49,4746799,2018-09-24 05:00:00
42,26.15,27.8,26.1,26.94,4184582,2018-09-25 05:00:00
43,26.98,27.11,25.5,26.06,4111404,2018-09-26 05:00:00
44,26.36,26.59,25.34,26.33,3154660,2018-09-27 05:00:00
45,26.0,26.3,25.52,26.29,2564709,2018-09-28 05:00:00
46,26.23,28.18,26.06,27.69,4350983,2018-10-01 05:00:00
47,27.3,27.39,25.45,25.66,3859041,2018-10-02 05:00:00
48,26.3,26.9725,25.86,26.28,2121868,2018-10-03 05:00:00
49,25.73,25.85,22.551,22.7,6983691,2018-10-04 05:00:00
50,23.08,23.79,20.5,21.78,10332444,2018-10-05 05:00:00
51,20.61,21.94,20.33,21.19,4564002,2018-10-08 05:00:00
52,20.97,22.62,20.89,22.34,4449236,2018-10-09 05:00:00
53,22.78,22.88,20.2,20.33,6765471,2018-10-10 05:00:00
54,20.24,21.49,20.03,20.82,8272945,2018-10-11 05:00:00
55,22.1012,22.48,21.02,21.62,3531493,2018-10-12 05:00:00
56,21.28,21.88,21.0,21.11,2336056,2018-10-15 05:00:00
57,21.23,21.49,20.48,20.81,4621794,2018-10-16 05:00:00
58,20.85,21.0,19.6,19.99,4017731,2018-10-17 05:00:00
59,19.67,19.87,18.8,18.8,5339638,2018-10-18 05:00:00
60,19.58,19.681,18.21,18.68,5746161,2018-10-19 05:00:00
61,19.7,20.09,18.91,19.95,7486947,2018-10-22 05:00:00
62,19.0,19.09,17.93,18.51,9665999,2018-10-23 05:00:00
63,18.71,18.71,17.25,17.32,5495965,2018-10-24 05:00:00
64,17.97,18.74,17.55,18.56,4701021,2018-10-25 05:00:00
