,open,high,low,close,volume,datetime
0,38.0,40.89,37.0,39.73,16392446,2018-04-27 05:00:00
1,39.9047,40.19,37.53,38.63,3312463,2018-04-30 05:00:00
2,38.7,39.89,37.85,39.45,1285573,2018-05-01 05:00:00
3,39.85,40.5,38.75,39.32,1251440,2018-05-02 05:00:00
4,39.69,42.56,38.81,41.96,2783655,2018-05-03 05:00:00
5,42.4,42.66,41.01,41.09,763525,2018-05-04 05:00:00
6,41.65,41.912,41.04,41.31,630844,2018-05-07 05:00:00
7,41.5,43.6799,40.5,43.22,821183,2018-05-08 05:00:00
8,44.44,44.87,43.245,44.1,1178122,2018-05-09 05:00:00
9,44.88,46.699,43.66,44.01,1467879,2018-05-10 05:00:00
10,44.56,45.8895,44.01,44.37,762193,2018-05-11 05:00:00
11,44.99,45.7265,43.37,44.19,1032010,2018-05-14 05:00:00
12,44.39,45.73,43.495,45.46,423001,2018-05-15 05:00:00
13,45.34,45.65,44.56,45.23,299008,2018-05-16 05:00:00
14,45.2,46.4,44.55,44.9,339527,2018-05-17 05:00:00
15,44.75,45.0,44.36,44.78,350812,2018-05-18 05:00:00
16,45.5,45.5,41.72,42.98,804373,2018-05-21 05:00:00
17,43.24,44.72,42.851,43.05,1062700,2018-05-22 05:00:00
18,43.64,45.62,43.1,45.42,1125441,2018-05-23 05:00:00
19,45.94,47.7,45.2962,46.8,1011734,2018-05-24 05:00:00
20,47.23,48.9,46.1071,46.37,678083,2018-05-25 05:00:00
21,46.67,49.33,45.855,48.43,931091,2018-05-29 05:00:00
22,48.9,51.0,48.56,49.99,830985,2018-05-30 05:00:00
23,50.13,51.2009,49.53,49.81,867073,2018-05-31 05:00:00
24,50.28,50.74,49.76,50.12,564739,2018-06-01 05:00:00
25,51.0,54.15,50.54,53.65,1121220,2018-06-04 05:00:00
26,54.29,58.28,52.0,54.59,2463590,2018-06-05 05:00:00
27,55.63,57.38,54.36,57.36,989487,2018-06-06 05:00:00
28,58.95,59.86,53.5,55.99,3617122,2018-06-07 05:00:00
29,58.25,60.45,55.31,57.92,7147612,2018-06-08 05:00:00
30,58.3,60.0,58.2,59.54,2131421,2018-06-11 05:00:00
31,60.49,63.35,60.0,61.82,2408591,2018-06-12 05:00:00
32,63.28,64.97,62.0,63.77,2126685,2018-06-13 05:00:00
33,64.99,65.8159,63.1,63.53,1932240,2018-06-14 05:00:00
34,63.09,64.58,62.3,63.95,3584226,2018-06-15 05:00:00
35,63.51,66.191,61.6452,63.9,1557289,2018-06-18 05:00:00
36,62.14,64.7,57.6,63.87,3791386,2018-06-19 05:00:00
37,64.67,66.8,62.03,62.46,2381465,2018-06-20 05:00:00
38,63.06,63.19,57.47,57.59,3209053,2018-06-21 05:00:00
39,58.9,58.99,55.0,57.55,4039279,2018-06-22 05:00:00
40,55.58,55.6552,52.05,55.0,2847085,2018-06-25 05:00:00
41,55.49,56.9689,54.9,56.47,1601609,2018-06-26 05:00:00
42,56.95,57.2,51.74,51.77,2266959,2018-06-27 05:00:00
43,51.62,54.0,50.3435,53.04,2311962,2018-06-28 05:00:00
44,53.67,54.0,51.8305,52.95,1636890,2018-06-29 05:00:00
45,52.46,53.16,50.5,52.34,1933451,2018-07-02 05:00:00
46,52.46,53.5,51.85,51.97,721656,2018-07-03 05:00:00
47,52.49,55.39,51.5934,54.62,2171958,2018-07-05 05:00:00
48,54.75,55.96,54.07,54.95,1177586,2018-07-06 05:00:00
49,55.28,56.49,54.8711,55.35,901392,2018-07-09 05:00:00
50,55.77,55.77,52.19,52.37,1583095,2018-07-10 05:00:00
51,52.0,53.76,51.61,51.98,1120288,2018-07-11 05:00:00
52,52.24,56.44,51.5,55.37,2377655,2018-07-12 05:00:00
53,55.38,56.0,54.68,55.33,1038908,2018-07-13 05:00:00
