,open,high,low,close,volume,datetime
0,32.0,35.85,30.91,35.48,14125127,2012-04-19 05:00:00
1,35.25,36.64,33.5,36.2,1796785,2012-04-20 05:00:00
2,36.78,37.24,35.76,35.93,931033,2012-04-23 05:00:00
3,36.04,37.34,34.65,35.8,506199,2012-04-24 05:00:00
4,36.78,37.15,34.57,34.72,520432,2012-04-25 05:00:00
5,34.59,35.2962,33.34,35.11,233970,2012-04-26 05:00:00
6,36.0,36.97,35.015,35.06,380799,2012-04-27 05:00:00
7,36.13,36.13,33.6,33.95,301579,2012-04-30 05:00:00
8,34.29,36.94,33.93,35.91,679496,2012-05-01 05:00:00
9,35.51,36.202,35.2,35.275,261303,2012-05-02 05:00:00
10,36.5,36.5,32.2,32.68,1026640,2012-05-03 05:00:00
11,32.32,32.59,31.76,32.07,439411,2012-05-04 05:00:00
12,31.75,33.03,31.75,32.93,285866,2012-05-07 05:00:00
13,33.0,34.15,32.31,32.75,329258,2012-05-08 05:00:00
14,32.01,34.17,32.01,32.86,356754,2012-05-09 05:00:00
15,33.32,33.95,31.53,31.79,383398,2012-05-10 05:00:00
16,31.33,32.23,29.47,31.355,1023375,2012-05-11 05:00:00
17,31.28,32.92,30.43,31.02,702548,2012-05-14 05:00:00
18,31.39,31.85,31.2,31.62,351880,2012-05-15 05:00:00
19,31.64,31.9,30.41,30.97,237873,2012-05-16 05:00:00
20,31.11,31.178,29.8725,30.62,404364,2012-05-17 05:00:00
21,31.09,31.09,28.49,29.06,814493,2012-05-18 05:00:00
22,29.48,30.14,28.82,30.02,598955,2012-05-21 05:00:00
23,30.42,32.55,30.0922,31.63,508387,2012-05-22 05:00:00
24,31.1,35.8,30.0,34.89,798983,2012-05-23 05:00:00
25,35.5,36.5,33.58,34.59,535516,2012-05-24 05:00:00
26,35.08,36.339,34.43,35.93,296454,2012-05-25 05:00:00
27,36.72,37.57,35.94,36.375,563965,2012-05-29 05:00:00
28,36.08,36.08,33.57,34.3,882473,2012-05-30 05:00:00
29,34.25,34.99,31.36,32.56,988337,2012-05-31 05:00:00
30,31.56,31.97,26.97,27.24,1778879,2012-06-01 05:00:00
31,27.8,28.0,25.147,27.0,706162,2012-06-04 05:00:00
32,27.26,28.85,26.804,28.59,610337,2012-06-05 05:00:00
33,28.9,32.0,28.1,30.15,869297,2012-06-06 05:00:00
34,30.56,31.4091,28.65,29.77,455199,2012-06-07 05:00:00
35,30.1,32.06,29.22,32.01,626515,2012-06-08 05:00:00
36,32.69,32.88,29.77,30.01,378411,2012-06-11 05:00:00
37,30.69,30.99,29.83,30.43,298603,2012-06-12 05:00:00
38,30.48,31.95,30.02,30.75,233851,2012-06-13 05:00:00
39,30.9,31.92,30.755,31.66,273447,2012-06-14 05:00:00
40,31.84,33.04,31.18,32.73,396787,2012-06-15 05:00:00
41,32.35,32.72,31.76,32.13,318465,2012-06-18 05:00:00
42,32.65,32.67,31.84,31.96,387820,2012-06-19 05:00:00
43,31.93,32.02,30.81,31.68,310936,2012-06-20 05:00:00
44,31.52,32.02,29.32,29.54,569279,2012-06-21 05:00:00
45,30.0,31.2,29.11,29.27,1561032,2012-06-22 05:00:00
46,28.84,28.94,27.84,28.26,657248,2012-06-25 05:00:00
47,28.41,28.41,27.5336,27.78,490306,2012-06-26 05:00:00
48,27.62,28.38,27.62,28.0,351307,2012-06-27 05:00:00
49,26.98,27.59,25.82,26.49,1178654,2012-06-28 05:00:00
50,27.1,28.36,27.0149,28.1,458260,2012-06-29 05:00:00
51,28.15,29.49,27.44,29.13,350711,2012-07-02 05:00:00
52,29.06,29.25,28.8,29.04,138890,2012-07-03 05:00:00
53,28.89,30.53,28.68,29.86,152099,2012-07-05 05:00:00
54,29.29,29.86,28.875,29.63,444501,2012-07-06 05:00:00
55,29.17,29.5941,27.42,28.07,813921,2012-07-09 05:00:00
56,28.24,28.24,26.51,26.83,694843,2012-07-10 05:00:00
57,26.83,27.4062,26.25,26.59,350331,2012-07-11 05:00:00
58,26.32,27.5,25.9,27.1,246978,2012-07-12 05:00:00
59,27.24,28.74,27.02,28.19,354544,2012-07-13 05:00:00
60,28.05,29.32,27.94,28.43,422400,2012-07-16 05:00:00
61,27.89,28.29,27.49,27.97,653097,2012-07-17 05:00:00
62,27.86,29.45,27.5,28.92,910518,2012-07-18 05:00:00
63,29.0,29.36,28.47,29.19,846586,2012-07-19 05:00:00
64,29.12,29.57,28.06,28.55,6141008,2012-07-20 05:00:00
65,28.25,28.63,28.0,28.06,1015035,2012-07-23 05:00:00
66,28.15,28.25,27.75,27.96,365321,2012-07-24 05:00:00
67,28.11,28.47,27.6,28.25,396009,2012-07-25 05:00:00
68,28.83,28.93,27.99,28.37,644436,2012-07-26 05:00:00
69,28.64,29.9,28.05,29.27,770671,2012-07-27 05:00:00
70,29.18,29.28,28.37,28.75,322411,2012-07-30 05:00:00
71,28.65,29.55,28.64,29.4,518346,2012-07-31 05:00:00
72,29.69,29.8,28.675,28.95,338282,2012-08-01 05:00:00
73,28.4,28.54,27.0,28.28,840179,2012-08-02 05:00:00
74,28.9,28.99,27.53,27.94,422099,2012-08-03 05:00:00
75,27.98,29.74,27.88,29.16,624084,2012-08-06 05:00:00
76,29.64,30.84,29.39,30.51,758889,2012-08-07 05:00:00
77,30.26,30.66,29.69,30.16,231421,2012-08-08 05:00:00
78,30.21,30.58,29.94,30.52,285619,2012-08-09 05:00:00
79,30.28,30.75,29.95,30.18,309113,2012-08-10 05:00:00
80,30.22,30.2999,29.46,29.85,320781,2012-08-13 05:00:00
81,30.04,30.12,29.42,29.68,154795,2012-08-14 05:00:00
82,29.29,29.93,28.74,29.29,384300,2012-08-15 05:00:00
83,29.56,30.76,29.05,30.66,551303,2012-08-16 05:00:00
84,30.85,31.0,30.434,30.9,376059,2012-08-17 05:00:00
85,30.9,31.5,30.58,31.44,347416,2012-08-20 05:00:00
86,31.5,31.75,30.47,30.75,314795,2012-08-21 05:00:00
87,30.8,30.95,30.5,30.6,265653,2012-08-22 05:00:00
88,30.51,30.94,30.05,30.93,389340,2012-08-23 05:00:00
89,30.9,31.06,30.45,30.86,337781,2012-08-24 05:00:00
90,31.07,31.16,30.54,31.03,332738,2012-08-27 05:00:00
91,31.0,31.1193,30.89,31.0,290550,2012-08-28 05:00:00
92,31.0,31.04,30.51,30.84,311232,2012-08-29 05:00:00
93,30.52,31.36,29.911,30.5,932411,2012-08-30 05:00:00
94,34.5,36.12,34.25,34.4,3465260,2012-08-31 05:00:00
95,34.49,35.52,34.29,35.38,603672,2012-09-04 05:00:00
96,35.54,37.44,35.23,37.02,1069618,2012-09-05 05:00:00
97,37.58,37.75,36.33,37.23,571128,2012-09-06 05:00:00
98,37.2,38.49,36.6,38.29,846495,2012-09-07 05:00:00
99,38.2,38.21,36.09,36.98,752129,2012-09-10 05:00:00
100,37.0,37.19,36.3301,36.49,429152,2012-09-11 05:00:00
101,36.98,37.4,36.695,36.88,352980,2012-09-12 05:00:00
102,36.98,38.08,36.0,37.81,608552,2012-09-13 05:00:00
103,38.48,39.75,38.26,39.08,663214,2012-09-14 05:00:00
104,39.09,39.09,37.72,38.35,401444,2012-09-17 05:00:00
105,38.39,38.4983,37.56,37.66,268560,2012-09-18 05:00:00
106,37.49,38.3,37.48,37.86,313749,2012-09-19 05:00:00
107,37.58,37.81,35.85,36.75,1202495,2012-09-20 05:00:00
108,37.16,37.75,36.61,37.14,1607611,2012-09-21 05:00:00
109,36.87,37.12,36.01,36.26,571702,2012-09-24 05:00:00
110,36.65,38.07,36.3002,36.79,1692520,2012-09-25 05:00:00
111,36.61,36.68,34.9201,35.93,484686,2012-09-26 05:00:00
112,36.55,38.16,36.3223,37.73,1107889,2012-09-27 05:00:00
113,37.61,37.87,36.12,36.72,970188,2012-09-28 05:00:00
114,37.0,37.204,33.94,35.93,2340039,2012-10-01 05:00:00
115,35.91,35.9875,34.24,35.37,967929,2012-10-02 05:00:00
116,35.51,36.1,34.95,36.05,648435,2012-10-03 05:00:00
117,35.5,35.79,34.82,34.94,592287,2012-10-04 05:00:00
118,35.06,35.28,32.43,33.03,1457620,2012-10-05 05:00:00
119,31.96,33.56,31.85,32.7,714992,2012-10-08 05:00:00
120,32.6,32.6,32.0,32.364,706731,2012-10-09 05:00:00
121,32.26,32.65,30.92,31.07,1223701,2012-10-10 05:00:00
122,31.53,32.07,30.9,31.52,1681392,2012-10-11 05:00:00
123,31.5,31.79,31.14,31.31,680431,2012-10-12 05:00:00
124,31.15,32.47,31.03,32.23,1183492,2012-10-15 05:00:00
125,31.13,32.78,30.23,32.0,6140956,2012-10-16 05:00:00
126,31.9,32.11,30.94,31.22,1700927,2012-10-17 05:00:00
127,31.0,31.6,30.815,31.17,1061304,2012-10-18 05:00:00
128,31.21,31.93,30.72,31.51,1718187,2012-10-19 05:00:00
129,31.83,31.83,30.12,30.49,1422905,2012-10-22 05:00:00
130,30.29,30.77,29.9,30.5591,923517,2012-10-23 05:00:00
131,30.74,30.87,30.01,30.39,670511,2012-10-24 05:00:00
132,30.81,30.81,28.04,29.99,2040764,2012-10-25 05:00:00
