,open,high,low,close,volume,datetime
0,45.0,48.28,39.51,44.0,13219400,2006-01-26 06:00:00
1,44.88,44.9,41.75,42.2,1150800,2006-01-27 06:00:00
2,42.2,45.51,41.25,44.8,735800,2006-01-30 06:00:00
3,45.5,49.3,45.38,47.52,1111200,2006-01-31 06:00:00
4,48.9,49.24,45.25,46.56,606700,2006-02-01 06:00:00
5,47.9,47.91,44.26,44.75,401500,2006-02-02 06:00:00
6,44.85,46.56,44.25,46.55,245300,2006-02-03 06:00:00
7,47.48,48.0,46.0,47.71,349800,2006-02-06 06:00:00
8,47.71,47.75,45.25,46.28,267200,2006-02-07 06:00:00
9,45.85,46.6,45.04,45.74,174400,2006-02-08 06:00:00
10,45.78,46.0,43.08,44.05,220300,2006-02-09 06:00:00
11,43.25,43.26,41.5,42.31,375500,2006-02-10 06:00:00
12,41.75,42.55,41.0,41.48,199100,2006-02-13 06:00:00
13,41.45,43.26,41.19,43.0,197900,2006-02-14 06:00:00
14,43.1,43.3,42.22,42.7,98100,2006-02-15 06:00:00
15,43.75,44.7,42.53,44.45,293000,2006-02-16 06:00:00
16,44.25,45.0,43.85,43.85,138000,2006-02-17 06:00:00
17,44.0,44.06,42.81,43.1,68100,2006-02-21 06:00:00
18,43.0,44.15,42.85,43.87,95900,2006-02-22 06:00:00
19,45.1,45.99,44.75,45.8,249300,2006-02-23 06:00:00
20,45.9,46.75,45.8,46.67,138300,2006-02-24 06:00:00
21,46.95,46.95,46.18,46.53,100800,2006-02-27 06:00:00
22,46.53,46.53,45.6,45.6,87500,2006-02-28 06:00:00
23,45.64,46.2,44.6,45.5,190100,2006-03-01 06:00:00
24,45.5,46.31,45.07,45.75,229000,2006-03-02 06:00:00
25,45.75,46.29,45.13,45.48,89100,2006-03-03 06:00:00
26,45.6,46.1,45.03,45.79,168900,2006-03-06 06:00:00
27,44.5,45.25,44.25,45.0,328300,2006-03-07 06:00:00
28,44.85,44.85,42.2,42.5,306600,2006-03-08 06:00:00
29,42.75,42.9,41.25,41.46,161500,2006-03-09 06:00:00
30,41.4,42.88,40.89,42.11,313900,2006-03-10 06:00:00
31,42.36,43.75,42.36,43.41,190400,2006-03-13 06:00:00
32,46.29,49.15,45.95,48.7,1255800,2006-03-14 06:00:00
33,48.0,52.75,47.85,52.01,1142100,2006-03-15 06:00:00
34,52.0,56.75,51.89,55.05,1697700,2006-03-16 06:00:00
35,55.5,55.5,53.42,53.86,396200,2006-03-17 06:00:00
36,53.86,53.86,50.05,50.09,863500,2006-03-20 06:00:00
37,50.26,52.35,50.2,52.0,360400,2006-03-21 06:00:00
38,52.95,54.85,52.95,54.8,573600,2006-03-22 06:00:00
39,55.0,55.1,53.0,53.88,505500,2006-03-23 06:00:00
40,54.0,54.85,53.61,54.51,277000,2006-03-24 06:00:00
41,54.25,54.45,53.3,54.09,220900,2006-03-27 06:00:00
42,54.1,54.1,52.95,53.2,175600,2006-03-28 06:00:00
43,53.45,54.45,53.0,53.93,148000,2006-03-29 06:00:00
44,54.03,55.5,53.85,55.41,209400,2006-03-30 06:00:00
45,55.2,56.5,54.6,55.39,770400,2006-03-31 06:00:00
46,55.56,57.49,55.2,56.98,370100,2006-04-03 05:00:00
47,57.15,57.47,56.4,57.0,167400,2006-04-04 05:00:00
48,57.0,57.2,56.03,57.15,99300,2006-04-05 05:00:00
49,57.6,58.0,55.48,55.5,301700,2006-04-06 05:00:00
50,55.45,55.5,54.4,54.65,221100,2006-04-07 05:00:00
51,54.4,55.6,53.45,53.73,338100,2006-04-10 05:00:00
52,53.74,55.0,53.12,54.6,359400,2006-04-11 05:00:00
53,54.5,55.19,53.82,54.05,212800,2006-04-12 05:00:00
54,54.01,54.02,52.71,53.02,148100,2006-04-13 05:00:00
