,open,high,low,close,volume,datetime
0,20.4,31.0,20.21,29.99,5135344,2021-02-09 06:00:00
1,27.6183,28.5,26.01,26.2,1014890,2021-02-10 06:00:00
2,26.0,31.83,26.0,29.6,499801,2021-02-11 06:00:00
3,28.01,28.74,26.21,27.66,309344,2021-02-12 06:00:00
4,26.5,26.95,25.38,25.56,187260,2021-02-16 06:00:00
5,25.5,26.15,25.12,25.46,142744,2021-02-17 06:00:00
6,25.38,25.55,24.6238,25.16,94077,2021-02-18 06:00:00
7,25.43,27.1,25.2,26.32,76289,2021-02-19 06:00:00
8,25.52,26.45,25.4,26.24,184558,2021-02-22 06:00:00
9,25.0,25.365,24.835,24.86,209125,2021-02-23 06:00:00
10,25.0,25.1465,24.72,25.0,63764,2021-02-24 06:00:00
11,25.16,25.16,24.5,24.86,76056,2021-02-25 06:00:00
12,24.18,24.65,23.9,24.5,47084,2021-02-26 06:00:00
13,24.5,24.98,24.4,24.98,12540,2021-03-01 06:00:00
14,24.97,24.97,23.99,24.56,14571,2021-03-02 06:00:00
15,24.56,24.57,23.48,23.75,70398,2021-03-03 06:00:00
16,23.65,23.89,22.5,22.99,94275,2021-03-04 06:00:00
17,22.85,23.18,22.0,23.11,70573,2021-03-05 06:00:00
18,23.5,24.46,21.57,21.72,90921,2021-03-08 06:00:00
19,21.83,22.2099,21.02,21.22,66728,2021-03-09 06:00:00
20,21.25,21.43,20.78,21.01,105248,2021-03-10 06:00:00
21,21.01,21.38,20.5,21.38,70001,2021-03-11 06:00:00
22,20.95,23.0,20.605,22.22,45636,2021-03-12 06:00:00
23,22.5,22.505,21.41,21.95,17299,2021-03-15 05:00:00
24,21.94,22.36,21.91,22.36,10117,2021-03-16 05:00:00
25,21.97,22.0,21.6,22.0,5575,2021-03-17 05:00:00
26,22.11,22.11,21.31,21.41,6743,2021-03-18 05:00:00
27,21.1,21.35,20.78,20.95,22761,2021-03-19 05:00:00
28,20.75,20.76,18.66,18.77,81909,2021-03-22 05:00:00
29,19.6,19.74,18.55,18.73,177386,2021-03-23 05:00:00
30,19.13,19.13,17.51,17.74,23873,2021-03-24 05:00:00
31,17.93,18.34,17.7,17.71,9431,2021-03-25 05:00:00
32,18.02,19.58,17.35,17.73,12757,2021-03-26 05:00:00
33,17.9,18.79,17.0,17.0,11103,2021-03-29 05:00:00
34,17.0001,17.86,17.0001,17.39,17920,2021-03-30 05:00:00
35,17.6,18.275,17.6,17.95,21501,2021-03-31 05:00:00
36,17.88,18.25,17.68,17.68,8800,2021-04-01 05:00:00
37,17.9,18.63,17.755,17.87,10884,2021-04-05 05:00:00
38,18.4591,18.54,17.6,17.75,4892,2021-04-06 05:00:00
39,18.261,18.261,16.95,16.95,17633,2021-04-07 05:00:00
40,16.96,17.1899,15.275,15.84,23312,2021-04-08 05:00:00
41,15.85,16.27,14.28,14.48,43013,2021-04-09 05:00:00
42,14.73,14.91,13.05,13.43,32398,2021-04-12 05:00:00
43,13.63,13.89,13.2,13.46,18590,2021-04-13 05:00:00
44,13.6059,13.85,13.06,13.6,25867,2021-04-14 05:00:00
45,13.9,13.9,13.085,13.2,26180,2021-04-15 05:00:00
46,13.46,13.8,13.25,13.39,19529,2021-04-16 05:00:00
47,13.31,13.47,12.67,13.33,9766,2021-04-19 05:00:00
48,13.21,13.73,12.9,13.5,102651,2021-04-20 05:00:00
49,13.34,15.6,13.21,15.4,51807,2021-04-21 05:00:00
50,15.4,15.4,14.07,14.07,72658,2021-04-22 05:00:00
51,14.28,14.88,14.07,14.88,7190,2021-04-23 05:00:00
52,14.37,15.13,14.37,15.05,9624,2021-04-26 05:00:00
53,15.04,15.43,15.025,15.175,6010,2021-04-27 05:00:00
54,15.3976,15.66,14.57,14.81,170162,2021-04-28 05:00:00
55,14.8717,15.215,14.32,14.78,11415,2021-04-29 05:00:00
56,14.92,15.66,14.3001,14.6,90347,2021-04-30 05:00:00
57,15.3,15.3,14.2975,14.49,11528,2021-05-03 05:00:00
58,14.39,14.39,13.31,13.69,19733,2021-05-04 05:00:00
59,13.4,14.36,13.05,13.4,11592,2021-05-05 05:00:00
60,13.08,13.2,12.51,12.67,16032,2021-05-06 05:00:00
61,12.72,12.92,12.5,12.65,12774,2021-05-07 05:00:00
62,12.5474,12.5474,11.73,11.8,20574,2021-05-10 05:00:00
63,11.34,14.35,11.11,13.08,166720,2021-05-11 05:00:00
64,13.1,15.24,12.09,12.55,27692,2021-05-12 05:00:00
65,13.05,14.2806,12.55,12.55,6890,2021-05-13 05:00:00
66,12.61,13.1654,12.55,12.7,3712,2021-05-14 05:00:00
67,12.8,12.8,12.55,12.6,4340,2021-05-17 05:00:00
68,12.7,13.1696,12.5,12.53,4092,2021-05-18 05:00:00
69,13.35,14.0,12.62,12.64,8577,2021-05-19 05:00:00
70,13.28,13.4124,12.8,12.8,14580,2021-05-20 05:00:00
71,13.14,14.31,13.14,13.2,61204,2021-05-21 05:00:00
72,13.25,13.39,12.8,13.0,11065,2021-05-24 05:00:00
73,13.98,13.98,12.81,13.0,10525,2021-05-25 05:00:00
74,12.85,13.25,12.69,12.74,12070,2021-05-26 05:00:00
75,12.67,13.3162,12.67,12.7,8979,2021-05-27 05:00:00
76,13.5,14.7225,13.5,14.18,161116,2021-05-28 05:00:00
77,14.47,14.6,13.89,13.99,903033,2021-06-01 05:00:00
78,14.0,14.26,13.51,13.78,11294,2021-06-02 05:00:00
79,13.85,14.0,13.65,13.65,5886,2021-06-03 05:00:00
80,13.74,13.86,13.74,13.78,3262,2021-06-04 05:00:00
81,13.95,13.99,13.78,13.9,10949,2021-06-07 05:00:00
82,13.97,13.97,13.68,13.68,8755,2021-06-08 05:00:00
83,13.61,13.7,13.52,13.56,7975,2021-06-09 05:00:00
84,13.68,13.79,13.68,13.73,3103,2021-06-10 05:00:00
85,13.77,13.775,13.53,13.53,4896,2021-06-11 05:00:00
86,13.5238,13.7148,13.5238,13.59,10697,2021-06-14 05:00:00
87,13.65,13.65,13.57,13.61,2106,2021-06-15 05:00:00
88,14.01,14.06,13.7001,13.8601,6149,2021-06-16 05:00:00
89,14.0261,14.3,13.8,14.0,10259,2021-06-17 05:00:00
90,14.0,14.09,13.75,14.0,15655,2021-06-18 05:00:00
91,14.04,14.04,13.83,13.89,7497,2021-06-21 05:00:00
92,13.78,14.4,13.27,14.01,26608,2021-06-22 05:00:00
93,13.93,14.19,13.93,14.0,13755,2021-06-23 05:00:00
94,13.99,14.09,13.4589,13.99,42984,2021-06-24 05:00:00
95,14.44,14.44,14.02,14.25,115682,2021-06-25 05:00:00
96,14.27,14.68,14.0201,14.29,130140,2021-06-28 05:00:00
97,14.22,14.5448,13.55,13.96,18202,2021-06-29 05:00:00
98,13.8,14.0691,13.5,13.56,36013,2021-06-30 05:00:00
99,13.53,13.9899,13.53,13.9,8551,2021-07-01 05:00:00
100,13.75,13.85,13.58,13.68,16598,2021-07-02 05:00:00
101,13.68,13.7,12.6762,12.7,45642,2021-07-06 05:00:00
102,13.3,13.6278,13.01,13.49,73571,2021-07-07 05:00:00
103,13.33,13.51,13.0257,13.47,13464,2021-07-08 05:00:00
104,13.28,14.26,13.28,14.18,36481,2021-07-09 05:00:00
105,14.15,15.165,14.15,15.165,25795,2021-07-12 05:00:00
106,15.25,17.3907,15.25,16.85,53991,2021-07-13 05:00:00
107,17.35,18.45,16.61,17.95,73212,2021-07-14 05:00:00
108,17.81,17.81,16.9001,17.7,56713,2021-07-15 05:00:00
109,17.45,18.9,17.45,18.62,80992,2021-07-16 05:00:00
110,18.33,19.075,17.5001,18.64,45942,2021-07-19 05:00:00
111,18.85,19.14,17.97,19.0,47402,2021-07-20 05:00:00
112,19.06,19.88,18.47,19.88,45990,2021-07-21 05:00:00
113,19.95,20.9799,19.01,20.68,65709,2021-07-22 05:00:00
114,20.66,20.79,18.92,20.07,173084,2021-07-23 05:00:00
115,19.82,19.82,16.78,16.86,63705,2021-07-26 05:00:00
116,16.02,16.3,13.7,13.7,80323,2021-07-27 05:00:00
117,14.05,15.684,14.05,15.46,124224,2021-07-28 05:00:00
118,15.24,15.67,15.01,15.43,104937,2021-07-29 05:00:00
119,15.6,15.77,15.24,15.47,10707,2021-07-30 05:00:00
120,15.8,17.03,15.7,16.49,29428,2021-08-02 05:00:00
121,16.28,17.46,15.5,16.74,21740,2021-08-03 05:00:00
122,16.97,17.99,16.97,17.99,12902,2021-08-04 05:00:00
123,17.8,19.4,17.6,19.21,45250,2021-08-05 05:00:00
124,19.1,19.1,17.15,17.41,23767,2021-08-06 05:00:00
125,17.29,19.755,17.26,18.77,20762,2021-08-09 05:00:00
126,18.89,18.89,18.4,18.4,1547,2021-08-10 05:00:00
127,18.71,18.71,16.86,17.21,8782,2021-08-11 05:00:00
128,16.77,17.84,16.77,17.3,8285,2021-08-12 05:00:00
129,17.11,18.5,17.11,18.5,6452,2021-08-13 05:00:00
130,18.5,18.5,17.54,18.0,6866,2021-08-16 05:00:00
131,17.27,18.975,17.0,18.545,36465,2021-08-17 05:00:00
132,18.53,18.53,17.555,17.8,5555,2021-08-18 05:00:00
133,17.09,18.03,17.0544,17.49,22118,2021-08-19 05:00:00
134,17.38,17.805,16.01,16.5,48548,2021-08-20 05:00:00
135,16.5,17.4285,16.02,16.6,7153,2021-08-23 05:00:00
136,17.05,17.99,16.81,16.89,17036,2021-08-24 05:00:00
137,17.87,17.87,16.775,17.0905,32017,2021-08-25 05:00:00
138,16.9,17.45,16.435,16.88,4556,2021-08-26 05:00:00
139,16.59,17.05,16.51,16.97,9938,2021-08-27 05:00:00
140,16.66,16.98,16.02,16.7862,17756,2021-08-30 05:00:00
141,16.72,16.72,15.69,16.16,24678,2021-08-31 05:00:00
142,17.35,18.3,16.3,16.49,45642,2021-09-01 05:00:00
143,17.0,17.63,16.61,16.82,21575,2021-09-02 05:00:00
144,16.61,17.1547,16.61,16.77,5223,2021-09-03 05:00:00
145,16.8,16.9,16.25,16.48,21661,2021-09-07 05:00:00
146,16.5,17.06,16.47,17.05,52552,2021-09-08 05:00:00
147,17.08,17.3,16.88,17.15,39390,2021-09-09 05:00:00
148,17.1551,17.1551,16.0,16.41,15574,2021-09-10 05:00:00
149,16.5,16.5,15.0,15.49,20832,2021-09-13 05:00:00
150,15.56,15.68,15.23,15.68,52353,2021-09-14 05:00:00
151,15.54,15.87,14.08,15.25,105641,2021-09-15 05:00:00
152,15.04,15.04,14.51,14.51,15369,2021-09-16 05:00:00
153,14.84,15.22,14.46,15.22,23032,2021-09-17 05:00:00
154,14.63,14.7,14.2426,14.7,3784,2021-09-20 05:00:00
155,14.7,14.7,13.51,14.48,17128,2021-09-21 05:00:00
156,14.58,14.9765,14.3135,14.35,21777,2021-09-22 05:00:00
157,14.23,14.39,14.2,14.39,2586,2021-09-23 05:00:00
158,14.08,14.3,14.08,14.205,3758,2021-09-24 05:00:00
159,14.5,14.5,14.21,14.25,11316,2021-09-27 05:00:00
160,14.35,14.35,14.08,14.29,9190,2021-09-28 05:00:00
161,14.36,14.48,14.12,14.48,6037,2021-09-29 05:00:00
162,14.36,14.5,14.25,14.365,3497,2021-09-30 05:00:00
163,14.03,14.25,14.01,14.25,5796,2021-10-01 05:00:00
164,14.25,14.48,13.87,14.44,34425,2021-10-04 05:00:00
165,14.5,14.5,13.97,14.18,31556,2021-10-05 05:00:00
166,14.0,14.1,13.65,13.65,11896,2021-10-07 05:00:00
167,13.68,13.805,13.3,13.3,12725,2021-10-08 05:00:00
168,13.45,13.94,12.54,12.54,22461,2021-10-11 05:00:00
169,12.54,12.7,12.31,12.31,32803,2021-10-12 05:00:00
170,12.21,12.5,10.88,11.35,63630,2021-10-13 05:00:00
171,11.39,11.865,11.01,11.74,18370,2021-10-14 05:00:00
172,11.9,12.23,11.4,11.7,33926,2021-10-15 05:00:00
173,11.7,11.93,11.7,11.84,14621,2021-10-18 05:00:00
174,11.76,12.4,11.71,11.84,35000,2021-10-19 05:00:00
175,11.76,12.145,11.76,12.09,22272,2021-10-20 05:00:00
176,11.83,12.285,11.81,12.15,13479,2021-10-21 05:00:00
177,12.22,12.26,11.8,11.84,23852,2021-10-22 05:00:00
178,11.83,11.83,11.765,11.81,13184,2021-10-25 05:00:00
179,11.77,11.835,11.5,11.83,9696,2021-10-26 05:00:00
180,11.51,12.0,11.51,11.82,10906,2021-10-27 05:00:00
181,11.79,11.82,11.13,11.13,26081,2021-10-28 05:00:00
182,11.88,11.88,11.02,11.24,19479,2021-10-29 05:00:00
183,11.4,11.94,11.255,11.59,14222,2021-11-01 05:00:00
184,11.2801,11.76,11.2801,11.5,9893,2021-11-02 05:00:00
185,11.7053,11.7053,11.2,11.2,11531,2021-11-03 05:00:00
186,11.79,11.9,11.7,11.82,10709,2021-11-04 05:00:00
187,11.75,11.9,11.7,11.71,6950,2021-11-05 05:00:00
188,11.68,11.7,11.5,11.5,2833,2021-11-08 06:00:00
189,10.99,11.69,10.99,11.33,9275,2021-11-09 06:00:00
190,11.2,12.0,11.18,12.0,11436,2021-11-10 06:00:00
191,11.99,12.0,11.6,11.6,7061,2021-11-11 06:00:00
192,11.6,11.97,10.98,11.0,13325,2021-11-12 06:00:00
193,11.0,11.0,10.06,10.29,19360,2021-11-15 06:00:00
194,10.07,10.59,9.5002,9.65,23456,2021-11-16 06:00:00
195,9.77,9.85,9.34,9.36,28911,2021-11-17 06:00:00
196,9.68,9.84,9.4101,9.62,15246,2021-11-18 06:00:00
197,9.75,9.83,9.75,9.76,19565,2021-11-19 06:00:00
198,9.75,9.83,9.2928,9.2928,12768,2021-11-22 06:00:00
199,9.51,9.73,9.0,9.0,12540,2021-11-23 06:00:00
200,9.0,9.21,8.7342,9.0,17779,2021-11-24 06:00:00
201,9.0,9.345,8.69,8.69,6952,2021-11-26 06:00:00
202,8.69,9.08,8.5,8.5,22694,2021-11-29 06:00:00
203,9.3,9.3,7.72,8.22,87994,2021-11-30 06:00:00
204,8.28,8.57,7.3686,8.1,20646,2021-12-01 06:00:00
205,8.09,8.31,7.8,7.8,8243,2021-12-02 06:00:00
206,7.8,7.9,7.6267,7.77,8156,2021-12-03 06:00:00
207,7.95,8.8899,7.73,8.27,95657,2021-12-06 06:00:00
208,8.4,10.69,8.4,9.95,102534,2021-12-07 06:00:00
209,10.28,10.8815,9.9365,10.18,38471,2021-12-08 06:00:00
210,9.89,10.295,9.4,9.67,24119,2021-12-09 06:00:00
211,9.49,9.7,9.36,9.4,11034,2021-12-10 06:00:00
212,9.48,9.48,8.04,8.13,39780,2021-12-13 06:00:00
213,8.34,9.29,8.27,8.79,21010,2021-12-14 06:00:00
214,9.13,9.2,8.79,8.99,5352,2021-12-15 06:00:00
215,8.3949,8.5,7.71,7.74,17166,2021-12-16 06:00:00
216,7.64,8.225,7.51,7.51,19859,2021-12-17 06:00:00
217,7.56,8.48,7.52,7.52,31238,2021-12-20 06:00:00
218,7.75,8.2,7.0,7.92,37647,2021-12-21 06:00:00
219,7.77,8.08,7.39,7.4,20876,2021-12-22 06:00:00
220,7.45,7.65,7.39,7.5,29621,2021-12-23 06:00:00
221,7.38,7.8399,7.38,7.56,25219,2021-12-27 06:00:00
222,7.6,7.84,7.55,7.69,13053,2021-12-28 06:00:00
223,7.7,8.507,7.7,7.89,19261,2021-12-29 06:00:00
224,7.91,8.29,7.91,8.1,4541,2021-12-30 06:00:00
225,8.12,8.17,8.01,8.0684,7982,2021-12-31 06:00:00
226,8.03,8.04,8.03,8.04,1433,2022-01-03 06:00:00
227,7.88,8.36,7.5,7.71,11193,2022-01-04 06:00:00
228,7.51,7.95,7.51,7.73,15715,2022-01-05 06:00:00
229,7.7,8.15,7.56,8.15,7259,2022-01-06 06:00:00
230,8.09,8.8249,8.0384,8.785,13636,2022-01-07 06:00:00
231,8.78,8.78,8.5,8.69,3775,2022-01-10 06:00:00
232,8.642,8.98,8.27,8.3,24965,2022-01-11 06:00:00
233,8.32,9.25,8.3101,8.76,7225,2022-01-12 06:00:00
234,8.77,8.79,8.15,8.53,16694,2022-01-13 06:00:00
235,8.1527,8.45,7.65,8.185,13162,2022-01-14 06:00:00
236,7.96,8.54,7.5807,7.6001,35871,2022-01-18 06:00:00
237,7.8001,8.49,7.67,7.67,33850,2022-01-19 06:00:00
238,7.68,7.68,7.3,7.49,15653,2022-01-20 06:00:00
239,7.15,7.47,7.13,7.47,5676,2022-01-21 06:00:00
240,7.403,7.403,7.02,7.12,9589,2022-01-24 06:00:00
241,6.62,6.9,5.71,6.67,35223,2022-01-25 06:00:00
242,6.79,7.5,6.79,7.195,9688,2022-01-26 06:00:00
243,7.2,7.2,6.67,6.98,21376,2022-01-27 06:00:00
244,6.94,7.41,6.48,6.96,65655,2022-01-28 06:00:00
245,7.17,7.24,7.17,7.24,523,2022-01-31 06:00:00
246,7.2,7.327,7.2,7.32,4061,2022-02-01 06:00:00
247,7.4,7.4,7.04,7.36,2199,2022-02-02 06:00:00
248,7.31,7.34,7.1,7.24,3517,2022-02-03 06:00:00
249,7.07,7.1,7.0,7.0,3782,2022-02-04 06:00:00
250,6.96,7.305,6.96,7.0,18137,2022-02-07 06:00:00
251,6.5728,7.335,6.5728,7.24,5221,2022-02-08 06:00:00
252,7.24,7.96,7.24,7.5,12107,2022-02-09 06:00:00
253,7.14,7.375,7.14,7.25,3683,2022-02-10 06:00:00
254,6.95,7.37,6.95,7.25,5676,2022-02-11 06:00:00
255,6.69,7.075,6.18,6.2,14910,2022-02-14 06:00:00
256,6.35,6.88,6.3268,6.5942,10156,2022-02-15 06:00:00
257,6.59,6.59,6.48,6.48,2930,2022-02-16 06:00:00
258,6.63,6.9564,6.63,6.8,1796,2022-02-17 06:00:00
259,6.61,7.0,6.61,6.8,7788,2022-02-18 06:00:00
260,6.66,6.7,6.6527,6.7,2875,2022-02-22 06:00:00
261,6.69,6.69,6.4,6.42,3148,2022-02-23 06:00:00
262,6.08,6.4,6.02,6.02,9018,2022-02-24 06:00:00
263,6.38,6.65,6.38,6.52,21152,2022-02-25 06:00:00
264,6.13,6.59,5.01,5.44,33080,2022-02-28 06:00:00
265,5.74,5.74,5.33,5.5,3744,2022-03-01 06:00:00
266,6.0,6.33,5.14,5.34,393512,2022-03-02 06:00:00
267,5.22,5.45,4.69,4.7577,44817,2022-03-03 06:00:00
268,4.7,4.94,4.6,4.71,23101,2022-03-04 06:00:00
269,4.8282,5.04,4.73,5.04,30636,2022-03-07 06:00:00
270,4.7701,4.9001,4.7701,4.9,16662,2022-03-08 06:00:00
271,4.9612,5.4,4.81,4.85,102064,2022-03-09 06:00:00
272,4.77,4.94,4.77,4.8687,20752,2022-03-10 06:00:00
273,4.87,4.87,4.44,4.6,35483,2022-03-11 06:00:00
274,4.6,4.67,4.21,4.54,26997,2022-03-14 05:00:00
275,4.5,5.05,4.18,4.85,25040,2022-03-15 05:00:00
276,6.06,6.06,4.57,4.84,140685,2022-03-16 05:00:00
277,4.9,4.9301,4.54,4.6,49537,2022-03-17 05:00:00
278,4.7,4.8415,4.5,4.8,74598,2022-03-18 05:00:00
279,4.8,4.8,4.53,4.61,39477,2022-03-21 05:00:00
280,4.6,4.74,4.37,4.47,53300,2022-03-22 05:00:00
281,4.52,4.7,4.34,4.34,58982,2022-03-23 05:00:00
282,4.45,4.5881,4.33,4.33,51585,2022-03-24 05:00:00
283,4.32,4.46,4.32,4.32,23454,2022-03-25 05:00:00
284,4.28,4.44,3.99,3.99,33267,2022-03-28 05:00:00
285,4.02,4.433,3.82,3.99,77156,2022-03-29 05:00:00
286,4.0,4.2,3.66,3.66,56344,2022-03-30 05:00:00
287,3.99,3.99,3.5,3.5,119220,2022-03-31 05:00:00
288,3.64,3.78,3.56,3.65,91345,2022-04-01 05:00:00
289,3.61,3.8998,3.61,3.78,51962,2022-04-04 05:00:00
290,3.79,3.82,3.62,3.63,40930,2022-04-05 05:00:00
291,3.62,3.751,3.62,3.69,27853,2022-04-06 05:00:00
292,3.75,3.75,3.62,3.65,9849,2022-04-07 05:00:00
293,3.8899,3.8899,3.55,3.57,40855,2022-04-08 05:00:00
294,3.79,3.95,3.66,3.85,106482,2022-04-11 05:00:00
295,4.01,4.118,3.71,3.71,59037,2022-04-12 05:00:00
296,3.77,3.89,3.69,3.775,17613,2022-04-13 05:00:00
297,3.71,3.71,3.71,3.71,411,2022-04-14 05:00:00
298,3.7,3.7001,3.6617,3.6617,17019,2022-04-18 05:00:00
299,3.63,3.7495,3.625,3.65,37834,2022-04-19 05:00:00
300,3.6157,3.8798,3.59,3.59,25425,2022-04-20 05:00:00
301,3.67,3.7509,3.67,3.73,23346,2022-04-21 05:00:00
302,3.68,3.75,3.65,3.65,17168,2022-04-22 05:00:00
303,3.65,3.785,3.55,3.64,24398,2022-04-25 05:00:00
304,3.6629,3.76,3.6629,3.71,15027,2022-04-26 05:00:00
305,3.6201,3.8,3.6201,3.7,11107,2022-04-27 05:00:00
306,3.7,3.78,3.65,3.65,21881,2022-04-28 05:00:00
307,3.76,3.77,3.65,3.65,14916,2022-04-29 05:00:00
308,3.65,3.8768,3.59,3.63,69423,2022-05-02 05:00:00
309,3.56,3.72,3.56,3.65,18079,2022-05-03 05:00:00
310,3.56,3.6137,3.555,3.56,2307,2022-05-04 05:00:00
311,3.68,3.7062,3.43,3.5,18990,2022-05-05 05:00:00
312,3.39,3.39,3.23,3.23,11648,2022-05-06 05:00:00
313,3.2,3.2,2.89,2.94,13251,2022-05-09 05:00:00
314,2.98,3.3501,2.98,3.03,12041,2022-05-10 05:00:00
315,3.152,3.4051,3.14,3.14,10674,2022-05-11 05:00:00
316,2.91,3.159,2.91,3.147,13715,2022-05-12 05:00:00
317,3.24,3.24,3.15,3.19,11335,2022-05-13 05:00:00
318,3.21,3.3185,3.09,3.12,8764,2022-05-16 05:00:00
319,3.0694,3.1,2.905,2.97,28354,2022-05-17 05:00:00
320,2.755,2.99,2.755,2.88,23692,2022-05-18 05:00:00
321,2.94,2.9496,2.8,2.855,41985,2022-05-19 05:00:00
322,2.83,2.92,2.82,2.82,21812,2022-05-20 05:00:00
323,2.87,2.9,2.8,2.82,21010,2022-05-23 05:00:00
324,2.82,2.88,2.79,2.82,13610,2022-05-24 05:00:00
325,2.82,2.9,2.81,2.82,19036,2022-05-25 05:00:00
326,2.87,2.9,2.7624,2.82,20545,2022-05-26 05:00:00
327,2.6775,2.9,2.6775,2.8,29143,2022-05-27 05:00:00
328,2.78,2.87,2.76,2.8,23299,2022-05-31 05:00:00
329,2.77,2.879,2.72,2.87,24056,2022-06-01 05:00:00
330,2.87,2.87,2.805,2.86,15605,2022-06-02 05:00:00
331,2.8,2.87,2.8,2.8,1737,2022-06-03 05:00:00
332,2.8599,2.87,2.75,2.8,6411,2022-06-06 05:00:00
333,2.7501,2.8202,2.71,2.72,19613,2022-06-07 05:00:00
334,2.8,2.84,2.67,2.76,18102,2022-06-08 05:00:00
335,2.71,2.7296,2.55,2.58,14836,2022-06-09 05:00:00
336,2.55,2.609,2.55,2.56,9945,2022-06-10 05:00:00
