,open,high,low,close,volume,datetime
0,10.41,10.5,9.6,9.6,212436,2019-01-09 06:00:00
1,9.55,10.1,9.4573,9.9999,272545,2019-01-10 06:00:00
2,10.0,10.0,9.8537,9.8556,23500,2019-01-11 06:00:00
3,9.99,9.99,9.76,9.9001,18414,2019-01-14 06:00:00
4,9.85,10.03,9.75,10.03,33709,2019-01-15 06:00:00
5,10.03,10.03,9.95,10.0,5867,2019-01-16 06:00:00
6,9.7,9.93,9.6892,9.84,15412,2019-01-17 06:00:00
7,9.78,9.9,9.71,9.82,16055,2019-01-18 06:00:00
8,9.85,9.85,9.68,9.76,9788,2019-01-22 06:00:00
9,9.82,9.82,9.69,9.74,11900,2019-01-23 06:00:00
10,9.61,9.75,9.61,9.64,21235,2019-01-24 06:00:00
11,9.67,9.68,9.5792,9.5873,3325,2019-01-25 06:00:00
12,9.61,9.6246,9.56,9.57,14007,2019-01-28 06:00:00
13,9.5396,9.5396,9.455,9.46,19200,2019-01-29 06:00:00
14,9.5,9.5,9.45,9.45,8040,2019-01-30 06:00:00
15,9.45,9.469,9.45,9.452,8007,2019-01-31 06:00:00
16,9.47,9.4701,9.45,9.4542,7400,2019-02-01 06:00:00
17,9.4147,9.47,9.4147,9.44,6700,2019-02-04 06:00:00
18,9.45,9.45,9.3268,9.36,10868,2019-02-05 06:00:00
19,9.36,9.47,9.1642,9.47,22271,2019-02-06 06:00:00
20,9.4349,9.45,9.2986,9.45,8800,2019-02-07 06:00:00
21,9.48,9.5,9.48,9.484,13800,2019-02-08 06:00:00
22,9.4581,9.499,9.4581,9.49,1504,2019-02-11 06:00:00
23,9.4,9.41,9.3,9.31,11173,2019-02-12 06:00:00
24,9.3537,9.48,9.2701,9.48,2074,2019-02-13 06:00:00
25,9.27,9.3,9.27,9.28,634,2019-02-14 06:00:00
26,9.2835,9.2835,9.17,9.2,12855,2019-02-15 06:00:00
27,9.191,9.45,9.1856,9.4,10695,2019-02-19 06:00:00
28,9.4396,9.4396,9.19,9.39,12316,2019-02-20 06:00:00
29,9.3841,9.5,9.3841,9.5,6474,2019-02-21 06:00:00
30,9.3604,9.69,9.3604,9.6,13350,2019-02-22 06:00:00
31,9.5768,9.6,9.571,9.6,2207,2019-02-25 06:00:00
32,9.5,9.6,9.4527,9.6,14137,2019-02-26 06:00:00
33,9.61,9.61,9.6,9.6,4279,2019-02-27 06:00:00
34,9.6287,9.69,9.6076,9.69,4744,2019-02-28 06:00:00
35,9.7,9.7891,9.5749,9.61,15221,2019-03-01 06:00:00
36,9.72,9.74,9.6,9.6,8237,2019-03-04 06:00:00
37,9.7486,9.7611,9.6,9.74,16742,2019-03-05 06:00:00
38,9.6001,9.75,9.6001,9.69,9038,2019-03-06 06:00:00
39,9.742,9.742,9.6,9.67,7861,2019-03-07 06:00:00
40,9.6017,9.73,9.6017,9.61,10536,2019-03-08 06:00:00
41,9.72,9.9,9.66,9.9,23749,2019-03-11 05:00:00
42,9.89,9.98,9.89,9.95,21119,2019-03-12 05:00:00
43,9.94,9.95,9.85,9.85,16603,2019-03-13 05:00:00
44,9.9,9.98,9.875,9.9,17352,2019-03-14 05:00:00
45,9.97,9.98,9.5,9.5,42198,2019-03-15 05:00:00
46,9.62,9.6627,9.6,9.6,8021,2019-03-18 05:00:00
47,9.7893,9.7893,9.61,9.61,3217,2019-03-19 05:00:00
48,9.7223,9.7223,9.6,9.6,2731,2019-03-20 05:00:00
49,9.7399,9.7399,9.6,9.62,7543,2019-03-21 05:00:00
50,9.7,9.71,9.66,9.71,1897,2019-03-22 05:00:00
51,9.6025,9.6341,9.6,9.6,4730,2019-03-25 05:00:00
52,9.65,9.7,9.6457,9.7,3321,2019-03-26 05:00:00
53,9.7,9.73,9.7,9.73,1151,2019-03-27 05:00:00
54,9.6586,9.75,9.6586,9.75,1433,2019-03-28 05:00:00
55,9.64,9.88,9.64,9.75,2765,2019-03-29 05:00:00
56,9.75,9.9,9.63,9.895,9061,2019-04-01 05:00:00
57,9.8999,9.8999,9.85,9.8531,3600,2019-04-03 05:00:00
58,9.7,9.7,9.7,9.7,2706,2019-04-04 05:00:00
59,9.648,9.78,9.648,9.68,2058,2019-04-08 05:00:00
60,9.68,9.68,9.67,9.67,666,2019-04-09 05:00:00
61,9.65,9.71,9.65,9.7,2832,2019-04-10 05:00:00
62,9.75,9.75,9.71,9.71,1417,2019-04-11 05:00:00
