,open,high,low,close,volume,datetime
0,9.94,10.076,8.05,8.05,81304,2021-12-01 06:00:00
1,8.25,8.9,8.2,8.57,38776,2021-12-02 06:00:00
2,8.5,8.76,7.6,7.7,89860,2021-12-03 06:00:00
3,7.59,7.75,7.1,7.1,53926,2021-12-06 06:00:00
4,7.13,7.82,7.13,7.5,26276,2021-12-07 06:00:00
5,7.5,7.6,7.14,7.33,17139,2021-12-08 06:00:00
6,7.33,7.49,7.28,7.28,10202,2021-12-09 06:00:00
7,7.25,7.68,7.0,7.2,44718,2021-12-10 06:00:00
8,7.1,7.299,6.5005,6.51,77279,2021-12-13 06:00:00
9,6.5,6.8998,6.5,6.53,55124,2021-12-14 06:00:00
10,6.51,6.89,6.05,6.52,43072,2021-12-15 06:00:00
11,6.6,6.75,5.71,5.9,60539,2021-12-16 06:00:00
12,5.9,6.6,5.72,6.06,79347,2021-12-17 06:00:00
13,5.87,6.4,5.64,5.85,59823,2021-12-20 06:00:00
14,5.97,6.575,5.7217,6.1,44042,2021-12-21 06:00:00
15,6.0,6.45,6.0,6.15,58087,2021-12-22 06:00:00
16,6.16,6.32,6.16,6.25,34981,2021-12-23 06:00:00
17,6.25,6.6,6.0701,6.2744,38761,2021-12-27 06:00:00
18,6.55,6.55,6.0,6.2,83968,2021-12-28 06:00:00
19,6.36,6.38,6.0,6.05,103671,2021-12-29 06:00:00
20,6.25,6.25,6.0,6.088,33815,2021-12-30 06:00:00
21,6.2,6.2,6.0,6.02,112252,2021-12-31 06:00:00
22,6.15,7.22,5.77,7.05,344917,2022-01-03 06:00:00
23,7.28,7.28,6.6,7.01,55462,2022-01-04 06:00:00
24,7.05,7.41,6.8,7.41,35444,2022-01-05 06:00:00
25,7.25,7.6027,6.68,7.09,46194,2022-01-06 06:00:00
26,6.95,7.56,6.35,7.45,24681,2022-01-07 06:00:00
27,7.01,7.5265,6.785,7.36,41707,2022-01-10 06:00:00
28,7.5,7.97,7.1,7.1,20769,2022-01-11 06:00:00
29,7.3686,7.3686,6.95,7.225,36870,2022-01-12 06:00:00
30,7.15,7.15,6.86,7.0,15554,2022-01-13 06:00:00
31,6.8709,7.23,6.8709,7.01,10344,2022-01-14 06:00:00
32,7.01,7.145,6.6,7.03,11872,2022-01-18 06:00:00
33,7.05,7.19,6.61,7.19,20598,2022-01-19 06:00:00
34,7.31,7.31,6.83,7.25,84954,2022-01-20 06:00:00
35,6.54,7.22,6.54,6.81,136559,2022-01-21 06:00:00
36,6.71,7.05,6.23,6.8,35761,2022-01-24 06:00:00
37,6.7,6.9899,6.35,6.93,28365,2022-01-25 06:00:00
38,6.83,7.25,6.66,7.25,4956,2022-01-26 06:00:00
39,7.28,7.32,6.81,6.97,3670,2022-01-27 06:00:00
40,6.85,6.85,6.37,6.65,6600,2022-01-28 06:00:00
41,6.49,6.77,6.25,6.61,16118,2022-01-31 06:00:00
42,6.6,6.72,6.4521,6.53,4445,2022-02-01 06:00:00
43,6.79,6.79,6.32,6.502,10558,2022-02-02 06:00:00
44,6.34,6.78,6.26,6.26,3887,2022-02-03 06:00:00
45,6.3,6.79,5.95,6.23,48797,2022-02-04 06:00:00
46,6.04,6.49,5.72,5.99,12441,2022-02-07 06:00:00
47,5.85,5.89,5.27,5.62,62357,2022-02-08 06:00:00
48,5.48,5.8762,5.26,5.5,22341,2022-02-09 06:00:00
49,5.32,5.45,5.105,5.25,19319,2022-02-10 06:00:00
50,5.36,5.4499,5.0,5.3,7161,2022-02-11 06:00:00
51,5.13,5.33,5.06,5.2,18682,2022-02-14 06:00:00
52,5.04,5.81,5.01,5.4,40774,2022-02-15 06:00:00
53,5.23,5.367,5.05,5.32,12654,2022-02-16 06:00:00
54,5.14,5.3299,5.0,5.12,27667,2022-02-17 06:00:00
55,5.08,5.145,4.83,4.95,58761,2022-02-18 06:00:00
56,4.92,5.16,4.7366,4.94,17388,2022-02-22 06:00:00
57,4.71,4.94,4.57,4.57,4060,2022-02-23 06:00:00
58,4.15,4.74,4.15,4.45,25413,2022-02-24 06:00:00
59,4.9,5.05,4.693,5.0,10329,2022-02-25 06:00:00
60,4.9493,5.19,4.848,5.05,49308,2022-02-28 06:00:00
61,4.83,4.9979,4.62,4.75,3451,2022-03-01 06:00:00
62,4.87,5.11,4.87,5.08,15194,2022-03-02 06:00:00
63,5.1,5.1609,5.0,5.0,7532,2022-03-03 06:00:00
64,5.1445,5.1445,4.61,4.61,2873,2022-03-04 06:00:00
65,5.03,5.18,4.6284,5.18,1629,2022-03-07 06:00:00
66,4.96,5.1437,4.7,4.76,2995,2022-03-08 06:00:00
67,4.9586,5.174,4.7996,5.105,10016,2022-03-09 06:00:00
68,4.9799,4.9799,4.8076,4.97,4156,2022-03-11 06:00:00
69,5.1535,5.1535,4.7232,4.9,3620,2022-03-14 05:00:00
70,4.975,5.1303,4.63,4.9,7263,2022-03-15 05:00:00
71,5.1396,5.54,4.71,5.54,9940,2022-03-16 05:00:00
72,5.16,5.24,4.8,5.08,4410,2022-03-17 05:00:00
73,4.67,5.08,4.6306,5.07,3488,2022-03-18 05:00:00
74,5.0,5.48,5.0,5.35,1638,2022-03-21 05:00:00
75,5.08,5.27,5.0,5.02,2501,2022-03-22 05:00:00
76,5.19,5.3,5.19,5.22,4767,2022-03-23 05:00:00
77,5.09,5.415,5.0,5.0,6519,2022-03-24 05:00:00
78,5.44,5.49,5.0,5.22,13668,2022-03-25 05:00:00
79,5.3183,5.49,5.0,5.13,44450,2022-03-28 05:00:00
80,5.4,5.54,4.7,4.82,22165,2022-03-29 05:00:00
81,4.95,5.54,4.8,5.06,4231,2022-03-30 05:00:00
82,5.05,5.57,5.05,5.07,19478,2022-03-31 05:00:00
83,5.17,5.2,4.85,5.2,5964,2022-04-01 05:00:00
84,5.04,5.07,5.0,5.05,4377,2022-04-04 05:00:00
85,5.2,5.2,4.66,4.97,20706,2022-04-05 05:00:00
86,4.93,5.01,4.8505,4.99,22854,2022-04-06 05:00:00
87,4.99,5.09,4.9204,4.93,45983,2022-04-07 05:00:00
88,4.82,4.954,4.78,4.95,9489,2022-04-08 05:00:00
89,4.6786,4.9999,4.58,4.85,21357,2022-04-11 05:00:00
90,4.92,4.9899,4.573,4.82,3163,2022-04-12 05:00:00
91,4.89,5.09,4.7,5.05,28034,2022-04-13 05:00:00
92,5.01,5.1999,4.85,4.85,40651,2022-04-14 05:00:00
93,4.99,5.0,4.85,4.96,5048,2022-04-18 05:00:00
94,4.8771,4.99,4.83,4.83,4372,2022-04-19 05:00:00
95,4.89,5.0441,4.7,4.96,35180,2022-04-20 05:00:00
96,4.97,4.97,4.96,4.97,2482,2022-04-21 05:00:00
